Date,Timestamp,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GameScenario,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,Precision,ThreePrecision,InputNumber
2020-05-19,19:36:44.5121,KeyDown,U,0.7101112,0.3309669,3,CorrectKey,U,None,6,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3.5,2.2,Running,Constant,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0.5626082,NA,6,
2020-05-19,19:36:44.5161,KeySequenceStopped,NA,0.7166113,0.0065001,NA,NA,NA,NA,6,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3.5,2.2,Running,Constant,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0.5626082,NA,6,
2020-05-19,19:36:45.9214,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3.5,2.2,Running,Constant,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0.5626082,NA,6,
2020-05-19,19:36:45.9214,DecisionAcceptAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3.5,2.2,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.5626082,NA,6,
2020-05-19,19:36:45.9224,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3.5,2.2,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.5626082,NA,6,
2020-05-19,19:36:45.9284,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3.25,2.2,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,6,
2020-05-19,19:36:45.9284,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3.25,2.1,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,6,
2020-05-19,19:36:45.9294,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2.75,2.1,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,6,
2020-05-19,19:36:45.9294,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,6,
2020-05-19,19:36:48.6811,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,6,
2020-05-19,19:36:48.6040,KeyDown,T,0,0,0,CorrectKey,T,None,7,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,7,
2020-05-19,19:36:48.8221,KeyDown,Y,0.2176292,0.2176292,1,CorrectKey,Y,I,7,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,7,
2020-05-19,19:36:48.8521,KeyDown,I,0.2475093,0.0298801,2,CorrectKey,Y,I,7,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,7,
2020-05-19,19:36:49.0441,KeyDown,U,0.4390706,0.1915613,3,CorrectKey,U,None,7,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,7,
2020-05-19,19:36:49.0471,KeySequenceStopped,NA,0.4454625,0.0063919,NA,NA,NA,NA,7,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,7,
2020-05-19,19:36:50.5844,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6,0,0,0.6,0,1,Accepted,KeySequence,0.3203455,NA,7,
2020-05-19,19:36:50.5844,DecisionAcceptAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6666667,0,0,0.6666667,0,1,Accepted,KeySequence,0.3203455,NA,7,
2020-05-19,19:36:50.5864,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2.75,1.9,Running,Constant,MeetDesignGoals,0.6666667,0,0,0.6666667,0,1,Accepted,KeySequence,0.3203455,NA,7,
2020-05-19,19:36:50.5874,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2.5,1.9,Running,Constant,MeetDesignGoals,0.6666667,0,0,0.6666667,0,1,Accepted,KeySequence,0.7948346,NA,7,
2020-05-19,19:36:50.5884,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2.5,1.8,Running,Constant,MeetDesignGoals,0.6666667,0,0,0.6666667,0,1,Accepted,KeySequence,0.7948346,NA,7,
2020-05-19,19:36:50.5884,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2,1.8,Running,Constant,MeetDesignGoals,0.6666667,0,0,0.6666667,0,1,Accepted,KeySequence,0.7948346,NA,7,
2020-05-19,19:36:50.5884,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2,1.6,Running,Constant,MeetDesignGoals,0.6666667,0,0,0.6666667,0,1,Accepted,KeySequence,0.7948346,NA,7,
2020-05-19,19:36:52.5848,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2,1.6,Running,Constant,MeetDesignGoals,0.6666667,0,0,0.6666667,0,1,Accepted,KeySequence,0.7948346,NA,7,
2020-05-19,19:36:52.6248,KeyDown,T,0,0,0,CorrectKey,T,None,8,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2,1.6,Running,Constant,MeetDesignGoals,0.6666667,0,0,0.6666667,0,1,Accepted,KeySequence,0.7948346,NA,8,
